0	3.32	2.22
1	5.73	3.22
2	14.00	4.38
3	16.26	4.22
4	20.30	1.62
5	29.10	1.45
6	31.78	2.41
7	38.43	3.30
8	43.19	2.12
9	48.47	1.12
10	1.61	7.61
11	5.20	6.32
12	10.75	7.79
13	17.00	8.54
14	20.50	8.17
15	25.02	9.82
16	34.81	9.30
17	38.61	9.16
18	41.45	7.97
19	48.61	5.54
20	2.06	14.54
21	5.62	10.18
22	12.05	11.36
23	18.37	14.82
24	24.89	14.87
25	26.89	13.51
26	31.85	13.21
27	38.40	14.43
28	43.60	11.53
29	49.14	11.42
30	1.71	19.41
31	8.22	16.84
32	14.01	17.98
33	15.67	18.66
34	24.53	19.13
35	27.64	15.73
36	32.90	16.64
37	36.35	15.50
38	43.71	19.12
39	49.67	19.51
40	0.75	21.57
41	7.34	22.19
42	12.32	21.64
43	17.49	23.61
44	21.97	22.74
45	25.99	24.10
46	30.88	21.49
47	36.74	21.98
48	40.46	22.11
49	46.30	21.16
50	0.58	26.35
51	8.25	25.78
52	12.34	26.33
53	18.06	27.56
54	22.10	28.08
55	26.42	29.50
56	31.98	25.07
57	39.63	26.49
58	40.46	29.20
59	48.44	28.68
60	0.33	31.01
61	7.18	33.14
62	10.23	31.89
63	18.58	33.02
64	24.60	33.24
65	25.27	30.24
66	31.26	31.32
67	37.73	34.55
68	40.19	31.44
69	49.55	31.63
70	0.98	36.76
71	9.84	37.00
72	11.69	39.95
73	18.93	35.64
74	21.02	39.91
75	28.11	38.88
76	30.95	36.93
77	35.52	36.18
78	41.76	36.37
79	45.03	38.74
80	1.87	44.81
81	7.29	40.89
82	14.93	42.19
83	16.46	42.45
84	22.40	40.07
85	29.10	41.66
86	30.43	43.86
87	36.50	43.80
88	40.57	40.82
89	49.58	44.53
90	4.99	46.32
91	5.98	45.56
92	12.94	47.86
93	17.12	46.68
94	21.40	49.65
95	28.43	49.79
96	34.60	45.17
97	39.83	49.91
98	43.25	46.70
99	49.18	47.11
